,LSTAT,RM
250,5.9,6.487
212,16.03,5.807
277,4.16,6.826
238,6.36,6.481
58,6.86,6.145
236,9.54,6.631
345,10.53,6.014
67,8.1,5.878
260,9.59,7.203
10,20.45,6.377
493,12.01,5.707
353,4.5,6.728
497,14.1,5.794
153,15.79,5.709
154,15.12,6.129
420,15.02,6.411
84,9.62,6.389
502,9.08,6.12
399,29.97,5.852
243,5.19,6.393
211,23.98,5.404
220,9.71,6.951
163,3.32,8.375
45,10.21,5.682
98,3.57,7.82
167,12.14,5.877
477,24.91,5.304
237,4.73,7.358
299,4.74,7.041
479,13.11,6.229
245,18.46,5.605
244,12.5,5.593
143,26.42,5.468
354,8.05,5.663
327,12.79,6.083
430,17.64,6.348
94,10.59,6.249
59,9.22,5.927
391,18.76,6.051
102,10.63,6.405
86,12.86,6.015
460,16.42,6.701
361,14.19,6.251
500,14.33,6.027
289,9.51,6.565
375,13.44,7.313
99,6.19,7.416
105,16.47,5.851
11,13.27,6.009
222,9.93,6.879
417,26.64,5.304
363,14.64,5.803
223,7.6,6.618
449,19.31,6.417
225,4.63,8.725
103,13.44,6.137
170,14.43,5.875
324,6.12,6.415
110,13.0,6.195
485,10.58,6.312
196,4.08,7.287
349,5.89,6.939
139,18.46,6.151
178,6.92,6.86
74,6.78,6.273
503,5.64,6.976
148,28.32,5.186
177,6.29,6.315
182,4.82,7.155
351,5.49,6.579
1,9.14,6.421
452,17.27,6.297
265,10.45,5.56
501,9.67,6.593
157,4.59,6.943
499,15.1,5.569
195,2.97,7.875
89,5.7,7.079
423,23.29,6.103
374,37.97,4.138
505,7.88,6.03
140,24.16,6.174
467,21.32,6.003
357,13.27,6.395
437,26.45,6.152
197,8.61,7.107
88,5.5,7.007
408,26.4,5.617
384,30.63,4.368
359,12.67,6.112
199,4.56,6.975
464,13.22,6.209
367,13.33,3.863
227,6.36,7.163
492,13.35,5.983
192,2.87,7.178
147,29.53,4.926
436,18.05,6.461
79,9.1,5.874
358,11.48,6.127
62,6.73,6.456
210,17.27,5.96
